Run ID,Date,Figure Filenames,Description,Key Parameters,Full Param File,Code Version (Git SHA),Notes
sim_20251209_161054_46eda,2025-12-09 16:10:54,figures/sim_20251209_161054_46eda/nrmse_vs_delay_2025_12_09_161054.png; figures/sim_20251209_161054_46eda/tac_grid_part1_2025_12_09_161054.png; figures/sim_20251209_161054_46eda/tac_grid_part2_2025_12_09_161054.png; figures/sim_20251209_161054_46eda/tac_grid_part3_2025_12_09_161054.png; figures/sim_20251209_161054_46eda/tac_grid_part4_2025_12_09_161054.png; figures/sim_20251209_161054_46eda/tac_grid_part5_2025_12_09_161054.png; figures/sim_20251209_161054_46eda/fdg_aligned_true_2025_12_09_161054.png; figures/sim_20251209_161054_46eda/fdg_aligned_estimated_2025_12_09_161054.png; figures/sim_20251209_161054_46eda/gamma_library_2025_12_09_161054.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_161054_46eda.csv,d503bb50a941fc8a64af83f77ca9c20b0c965068,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 2.0
    - Delays: 0–50 min (1-min steps)
    Expect better unmixing around D ≈ 15 min"
sim_20251209_161400_eba67,2025-12-09 16:14:00,figures/sim_20251209_161400_eba67/nrmse_vs_delay_2025_12_09_161400.png; figures/sim_20251209_161400_eba67/tac_grid_part1_2025_12_09_161400.png; figures/sim_20251209_161400_eba67/tac_grid_part2_2025_12_09_161400.png; figures/sim_20251209_161400_eba67/tac_grid_part3_2025_12_09_161400.png; figures/sim_20251209_161400_eba67/tac_grid_part4_2025_12_09_161400.png; figures/sim_20251209_161400_eba67/tac_grid_part5_2025_12_09_161400.png; figures/sim_20251209_161400_eba67/fdg_aligned_true_2025_12_09_161400.png; figures/sim_20251209_161400_eba67/fdg_aligned_estimated_2025_12_09_161400.png; figures/sim_20251209_161400_eba67/gamma_library_2025_12_09_161400.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_161400_eba67.csv,d503bb50a941fc8a64af83f77ca9c20b0c965068,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 1.0
    - Delays: 0–50 min (1-min steps)
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )
    Expect better unmixing around D ≈ 15 min"
sim_20251209_164518_91e01,2025-12-09 16:45:18,figures/sim_20251209_164518_91e01/nrmse_vs_delay_2025_12_09_164518.png; figures/sim_20251209_164518_91e01/tac_grid_part1_2025_12_09_164518.png; figures/sim_20251209_164518_91e01/tac_grid_part2_2025_12_09_164518.png; figures/sim_20251209_164518_91e01/tac_grid_part3_2025_12_09_164518.png; figures/sim_20251209_164518_91e01/tac_grid_part4_2025_12_09_164518.png; figures/sim_20251209_164518_91e01/tac_grid_part5_2025_12_09_164518.png; figures/sim_20251209_164518_91e01/fdg_aligned_true_2025_12_09_164518.png; figures/sim_20251209_164518_91e01/fdg_aligned_estimated_2025_12_09_164518.png; figures/sim_20251209_164518_91e01/gamma_library_2025_12_09_164518.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_164518_91e01.csv,d503bb50a941fc8a64af83f77ca9c20b0c965068,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 1.0
    - Delays: 0–50 min (1-min steps)
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )
    - Gamma basis: n_t0 = 60, n_tau = 30
    Expect better unmixing around D ≈ 15 min"
sim_20251209_165121_9655c,2025-12-09 16:51:21,figures/sim_20251209_165121_9655c/nrmse_vs_delay_2025_12_09_165121.png; figures/sim_20251209_165121_9655c/tac_grid_part1_2025_12_09_165121.png; figures/sim_20251209_165121_9655c/tac_grid_part2_2025_12_09_165121.png; figures/sim_20251209_165121_9655c/tac_grid_part3_2025_12_09_165121.png; figures/sim_20251209_165121_9655c/tac_grid_part4_2025_12_09_165121.png; figures/sim_20251209_165121_9655c/tac_grid_part5_2025_12_09_165121.png; figures/sim_20251209_165121_9655c/fdg_aligned_true_2025_12_09_165121.png; figures/sim_20251209_165121_9655c/fdg_aligned_estimated_2025_12_09_165121.png; figures/sim_20251209_165121_9655c/gamma_library_2025_12_09_165121.png,Delay sweep for PBR28 and FDG with PBR scale 1.2 and FDG scale 1.0,"FDG/PBR, delay sweep, Feng AIF, frame_edges=0–120",params/sim_20251209_165121_9655c.csv,d503bb50a941fc8a64af83f77ca9c20b0c965068,"Testing new gamma basis library (version 3)
    - FDG scale = 1.0
    - PBR scale = 1.0
    - Delays: 0–50 min (1-min steps)
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )
    - Gamma basis: n_t0 = 60, n_tau = 60
    Expect better unmixing around D ≈ 15 min"
sim_20251210_131440_53fac,2025-12-10 13:14:40,figures/heatmap_pbr_nrmse_2025_12_10_131440.png; figures/heatmap_fdg_nrmse_2025_12_10_131440.png,Delay × PBR-scale NRMSE heatmaps (FDG + PBR28),"heatmap, FDG/PBR, delays=0–49 min, scale_ratios=0.5–2.0, gamma=(nt0 = 30, ntau = 30), framing=realistic_nonuniform",params/sim_20251210_131440_53fac.csv,bca242daa5bffe5345570814f29bfa6f772f9635,"Exploring identifiability region:
    - Delays: 0–49 min in 1-min steps
    - PBR:FDG scale ratios: 0.5–2.0
    - Fixed gamma library (nt0 = 30, ntau = 30)
    - Realistic non-uniform framing
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )"
sim_20251210_140450_31e63,2025-12-10 14:04:50,figures/heatmap_pbr_nrmse_2025_12_10_140450.png; figures/heatmap_fdg_nrmse_2025_12_10_140450.png,Delay × PBR-scale NRMSE heatmaps (FDG + PBR28),"heatmap, FDG/PBR, delays=0–49 min, scale_ratios=0.5–2.0, gamma=(nt0 = 30, ntau = 30), framing=realistic_nonuniform",params/sim_20251210_140450_31e63.csv,bca242daa5bffe5345570814f29bfa6f772f9635,"Exploring identifiability region:
    - Delays: 0–49 min in 1-min steps
    - PBR:FDG scale ratios: 0.5–2.0
    - Fixed gamma library (nt0 = 30, ntau = 30)
    - Realistic non-uniform framing
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )"
sim_20251210_140621_c6437,2025-12-10 14:06:21,figures/heatmap_pbr_nrmse_2025_12_10_140621.png; figures/heatmap_fdg_nrmse_2025_12_10_140621.png,Delay × PBR-scale NRMSE heatmaps (FDG + PBR28),"heatmap, FDG/PBR, delays=0–49 min, scale_ratios=0.5–2.0, gamma=(nt0 = 30, ntau = 30), framing=realistic_nonuniform",params/sim_20251210_140621_c6437.csv,bca242daa5bffe5345570814f29bfa6f772f9635,"Exploring identifiability region:
    - Delays: 0–49 min in 1-min steps
    - PBR:FDG scale ratios: 0.5–2.0
    - Fixed gamma library (nt0 = 30, ntau = 30)
    - Realistic non-uniform framing
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )"
sim_20251210_140738_73f22,2025-12-10 14:07:38,figures/heatmap_pbr_nrmse_2025_12_10_140738.png; figures/heatmap_fdg_nrmse_2025_12_10_140738.png,Delay × PBR-scale NRMSE heatmaps (FDG + PBR28),"heatmap, FDG/PBR, delays=0–49 min, scale_ratios=0.5–2.0, gamma=(nt0 = 30, ntau = 30), framing=realistic_nonuniform",params/sim_20251210_140738_73f22.csv,bca242daa5bffe5345570814f29bfa6f772f9635,"Exploring identifiability region:
    - Delays: 0–49 min in 1-min steps
    - PBR:FDG scale ratios: 0.5–2.0
    - Fixed gamma library (nt0 = 30, ntau = 30)
    - Realistic non-uniform framing
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )"
sim_20251210_140839_fd852,2025-12-10 14:08:39,figures/heatmap_pbr_nrmse_2025_12_10_140839.png; figures/heatmap_fdg_nrmse_2025_12_10_140839.png,Delay × PBR-scale NRMSE heatmaps (FDG + PBR28),"heatmap, FDG/PBR, delays=0–49 min, scale_ratios=0.5–2.0, gamma=(nt0 = 30, ntau = 30), framing=realistic_nonuniform",params/sim_20251210_140839_fd852.csv,bca242daa5bffe5345570814f29bfa6f772f9635,"Exploring identifiability region:
    - Delays: 0–49 min in 1-min steps
    - PBR:FDG scale ratios: 0.5–2.0
    - Fixed gamma library (nt0 = 30, ntau = 30)
    - Realistic non-uniform framing
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )"
sim_20251210_140921_26ee3,2025-12-10 14:09:21,figures/heatmap_pbr_nrmse_2025_12_10_140921.png; figures/heatmap_fdg_nrmse_2025_12_10_140921.png,Delay × PBR-scale NRMSE heatmaps (FDG + PBR28),"heatmap, FDG/PBR, delays=0–49 min, scale_ratios=0.5–2.0, gamma=(nt0 = 30, ntau = 30), framing=realistic_nonuniform",params/sim_20251210_140921_26ee3.csv,bca242daa5bffe5345570814f29bfa6f772f9635,"Exploring identifiability region:
    - Delays: 0–49 min in 1-min steps
    - PBR:FDG scale ratios: 0.5–2.0
    - Fixed gamma library (nt0 = 30, ntau = 30)
    - Realistic non-uniform framing
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )"
sim_20251210_141018_28455,2025-12-10 14:10:18,figures/heatmap_pbr_nrmse_2025_12_10_141018.png; figures/heatmap_fdg_nrmse_2025_12_10_141018.png,Delay × PBR-scale NRMSE heatmaps (FDG + PBR28),"heatmap, FDG/PBR, delays=0–49 min, scale_ratios=0.5–2.0, gamma=(nt0 = 30, ntau = 30), framing=realistic_nonuniform",params/sim_20251210_141018_28455.csv,bca242daa5bffe5345570814f29bfa6f772f9635,"Exploring identifiability region:
    - Delays: 0–49 min in 1-min steps
    - PBR:FDG scale ratios: 0.5–2.0
    - Fixed gamma library (nt0 = 30, ntau = 30)
    - Realistic non-uniform framing
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )"
sim_20251210_141212_fc536,2025-12-10 14:12:12,figures/heatmap_pbr_nrmse_2025_12_10_141212.png; figures/heatmap_fdg_nrmse_2025_12_10_141212.png,Delay × PBR-scale NRMSE heatmaps (FDG + PBR28),"heatmap, FDG/PBR, delays=0–49 min, scale_ratios=0.5–2.0, gamma=(nt0 = 30, ntau = 30), framing=realistic_nonuniform",params/sim_20251210_141212_fc536.csv,bca242daa5bffe5345570814f29bfa6f772f9635,"Exploring identifiability region:
    - Delays: 0–49 min in 1-min steps
    - PBR:FDG scale ratios: 0.5–2.0
    - Fixed gamma library (nt0 = 30, ntau = 30)
    - Realistic non-uniform framing
    - Frame edges:frame_durations_min = np.array(
        [2/60.0] * 20    # 20 × 2 s  = 40 s
        + [5/60.0] * 12    # 12 × 5 s  = 60 s
        + [10/60.0] * 12   # 12 × 10 s = 120 s
        + [20/60.0] * 12   # 12 × 20 s = 240 s
        + [30/60.0] * 8    # 8 × 30 s  = 240 s
        + [1.0]     * 6    # 6 × 60 s  = 360 s
        + [2.0]     * 5    # 5 × 120 s = 600 s
        + [5.0]     * 8    # 8 × 300 s = 2400 s
        + [10.0]    * 4    # 4 × 600 s = 2400 s
    )"
